Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2014-04-22,5760.05,5880.0,5705.1,5800.0,5847.55,2625.0,152.93
2014-04-23,5775.85,5998.95,5775.85,5910.0,5906.4,22312.0,1322.79
2014-04-25,5990.0,5990.0,5777.85,5800.0,5812.65,3750.0,220.25
2014-04-28,5820.0,5890.0,5655.1,5682.5,5732.8,20612.0,1185.93
2014-04-29,5677.6,5785.0,5675.5,5714.9,5701.05,15881.0,907.66
2014-04-30,5701.0,5739.95,5690.0,5715.0,5701.45,28305.0,1614.96
2014-05-02,5715.0,5730.0,5660.05,5700.4,5700.4,6139.0,349.96
2014-05-05,5661.0,5735.1,5661.0,5700.0,5700.05,18503.0,1054.83
2014-05-06,5703.2,5809.95,5698.0,5730.0,5727.35,3605.0,207.02
2014-05-07,5727.35,5800.0,5720.05,5800.0,5786.4,3064.0,177.17
2014-05-08,5794.95,5799.0,5698.8,5728.9,5715.95,7894.0,454.44
2014-05-09,5695.0,5801.8,5695.0,5800.05,5766.05,22913.0,1313.9
2014-05-12,5849.95,6035.0,5810.5,5930.0,5997.45,13623.0,814.19
2014-05-13,6000.0,6119.95,5900.0,6115.0,6088.35,9916.0,600.4
2014-05-14,6098.95,6099.5,5866.6,6080.0,6032.2,6605.0,397.43
2014-05-15,6000.1,6080.0,5927.7,6075.0,6066.15,4006.0,241.43
2014-05-16,5921.0,6366.0,5820.0,6200.0,6169.55,26144.0,1634.38
2014-05-19,6170.0,6350.25,6170.0,6200.0,6254.55,33165.0,2073.86
2014-05-20,6250.0,6300.0,6149.4,6250.0,6252.85,16009.0,999.59
2014-05-21,6259.25,6379.95,6234.05,6320.0,6282.1,14860.0,931.66
2014-05-22,6374.0,6470.0,6200.0,6465.0,6378.4,5567.0,350.18
2014-05-23,6450.0,6569.9,6405.1,6565.0,6529.7,8766.0,568.0
2014-05-26,6629.0,7148.55,6451.3,6925.0,6841.5,60093.0,4167.96
2014-05-27,6848.45,7040.0,6765.0,6765.0,6853.6,74108.0,5078.86
2014-05-28,6910.0,7124.0,6784.45,6880.0,6987.0,50439.0,3484.59
2014-05-29,6920.0,6987.85,6820.0,6830.05,6856.1,4836.0,333.77
2014-05-30,6875.0,6890.0,6790.0,6850.0,6851.05,3280.0,224.07
2014-06-02,6851.0,6995.0,6805.5,6810.0,6861.85,1984.0,136.91
2014-06-03,6929.05,7000.0,6821.0,6980.15,6977.95,3852.0,266.31
2014-06-04,6999.65,7270.0,6985.0,7240.0,7199.65,43099.0,3040.96
2014-06-05,7200.0,7999.7,7200.0,7400.0,7425.15,53501.0,4083.69
2014-06-06,7550.0,7680.3,7385.0,7535.05,7611.55,23081.0,1737.32
2014-06-09,7640.0,7990.0,7640.0,7700.0,7745.75,89554.0,6986.64
2014-06-10,7810.0,7810.0,6880.0,7400.0,7399.0,34153.0,2514.36
2014-06-11,7480.0,7610.0,7215.0,7350.0,7300.05,56193.0,4105.98
2014-06-12,7350.0,7399.0,7202.0,7303.0,7280.45,49971.0,3627.23
2014-06-13,7300.0,7370.0,6910.05,7200.0,7218.3,26605.0,1905.71
2014-06-16,7156.0,7248.65,7156.0,7200.0,7210.65,10272.0,740.71
2014-06-17,7148.0,7325.0,7148.0,7249.0,7248.65,15664.0,1137.24
2014-06-18,7260.0,7374.0,7211.0,7340.0,7335.5,36814.0,2683.57
2014-06-19,7331.0,7399.0,7262.1,7300.0,7307.95,6193.0,453.71
2014-06-20,7237.0,7450.0,7237.0,7330.0,7347.05,12829.0,942.4
2014-06-23,7273.6,7394.95,7250.0,7290.0,7300.7,3943.0,287.93
2014-06-24,7265.0,7489.0,7265.0,7350.1,7412.8,9114.0,676.65
2014-06-25,7355.0,7469.95,7302.0,7315.05,7337.85,6587.0,483.75
2014-06-26,7290.0,7521.5,7200.0,7287.0,7290.8,14974.0,1103.02
2014-06-27,7251.0,7375.0,7151.3,7190.0,7208.2,26681.0,1942.2
2014-06-30,7161.15,7298.0,7074.8,7200.0,7204.05,10056.0,724.05
2014-07-01,7269.95,7324.95,7110.1,7121.0,7154.6,6150.0,443.51
2014-07-02,7210.0,7279.75,7175.0,7220.0,7209.45,7161.0,515.88
2014-07-03,7260.0,7567.0,7200.1,7450.0,7426.6,18946.0,1407.16
2014-07-04,7488.0,7488.0,7200.0,7270.05,7274.6,6808.0,494.28
2014-07-07,7280.0,7395.0,7205.1,7373.0,7356.6,3063.0,224.98
2014-07-08,7308.15,7419.95,7225.0,7305.0,7277.5,3073.0,223.81
2014-07-09,7305.0,7325.0,7147.65,7210.0,7259.0,5624.0,407.39
2014-07-10,7265.0,7369.0,6858.7,7321.0,7205.3,7038.0,503.78
2014-07-11,7157.6,7288.95,7157.6,7200.0,7209.35,3204.0,230.87
2014-07-14,7200.05,7249.45,7106.1,7150.0,7205.1,5245.0,376.13
2014-07-15,7163.4,7262.0,7078.0,7250.0,7201.9,5094.0,365.96
2014-07-16,7162.0,7300.05,7162.0,7205.0,7206.1,6617.0,477.31
2014-07-17,7248.05,7475.0,7140.0,7417.0,7351.45,35829.0,2619.4
2014-07-18,7350.0,7419.1,7240.0,7350.0,7324.1,3223.0,235.66
2014-07-21,7389.0,7390.0,7236.2,7360.0,7353.0,1583.0,116.2
2014-07-22,7353.35,7400.0,7161.0,7200.0,7201.9,10063.0,729.27
2014-07-23,7300.0,7300.0,7021.0,7130.0,7097.15,17838.0,1264.4
2014-07-24,7150.0,7167.0,6904.25,7000.0,6999.95,21833.0,1529.85
2014-07-25,7058.8,7157.3,7000.0,7100.0,7117.9,6047.0,426.48
2014-07-28,7160.0,7260.0,7051.3,7240.0,7239.15,6070.0,435.56
2014-07-30,7240.0,7311.0,7120.0,7311.0,7263.7,4676.0,336.7
2014-07-31,7300.95,7440.0,7261.35,7390.0,7394.75,10939.0,807.84
2014-08-01,7370.0,7570.0,7128.0,7330.0,7359.4,11893.0,883.54
2014-08-04,7439.55,7515.0,7270.0,7330.0,7347.5,7127.0,524.32
2014-08-05,7424.95,7485.0,7305.1,7450.0,7461.0,2510.0,185.44
